Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009621	51.52	81.06	77.39	178.24	226.05	252.3	20.37	47.38	9.85	41.45	50.74	67.04	45.38	240.45	34.9	55.71	71.97	116.07	127.33	80.38	165.74	161.08	205.91	150
OG0009622	9.64	16.8	19.16	2.21	1.76	0.79	5.64	17.74	8.93	3.92	7	5.57	1.74	2.54	0	5.74	9.96	0	3.6	11.54	8.98	3.28	0	28.33
OG0009623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.37
OG0009625	12.04	22.13	13.43	21.07	28.36	50.69	2.96	8.33	2.26	50.35	71.84	35.05	1.64	21.08	0.4	10.89	12.52	25.61	12.17	53.23	77.66	77.08	47	7.35
OG0009629	93.81	99.71	110.45	215.27	219.71	187.23	44.92	137.73	44.25	147.16	216.11	210.63	44.6	180.6	49.37	124.83	109.99	296.63	1145.83	230.96	920.89	133.16	375.5	546.5
OG0009630	NA	NA	NA	NA	NA	NA	2.03	3.57	2.74	NA	NA	NA	NA	NA	0	2.66	4.02	NA	NA	NA	NA	NA	NA	11.11
OG0009631	30.89	162.76	222.41	312.42	210.04	267.13	10.25	1.6	33.72	11.08	99.05	123.77	179.05	89.22	74.36	225.77	324.07	514.31	338.57	65.43	63.91	391.24	141.66	174.87
OG0009633	7.83	10.4	17.39	12.15	17.7	30.91	1.22	0	0	4.33	9.82	0.21	4.82	20.85	4.94	22.01	33.5	35.04	33.41	2.84	27.24	23.28	20.37	31.7
OG0009634	525.26	341.93	413.37	295.32	235.99	396.14	43.23	77.94	81.9	235.47	314.27	257.74	287.87	342.54	123	208.58	266.4	261.59	284.49	33.01	43.29	40.25	32.14	142.94
OG0009635	403.08	306.62	324.86	210.5	151.85	310.23	23.48	64.49	31.33	159.7	242.08	193.68	175.71	164.17	72.35	150.11	186.35	127.18	205.33	116.97	227.66	320.25	142.78	120.93
OG0009636	13.81	7.52	22.11	1	3.98	0	5.46	1.9	5.74	0.62	3.87	16.06	13.79	45.02	0	3.29	2.12	6.61	0.55	45.77	30.14	7.17	15.72	3.23
OG0009637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA
OG0009638	1.61	0.64	2.5	0	2.22	0.26	1.82	5.32	1.62	0	0	2.02	0	3.49	3.52	4.18	5.46	3.94	4.36	12.63	11.23	0.57	5.15	12
OG0009639	1.41	7.95	18.66	32.93	40.35	49.4	9.21	11.69	8.61	4.84	17.36	14.21	15.58	63.29	15.91	29.88	29.93	57.3	33.48	34.32	66.27	22.47	43.83	71.97
OG0009642	15.02	14.87	20.24	13.92	16.9	21.23	5.74	8.59	4.08	22.35	20.79	24.36	10.6	13.39	2.86	16.4	17.61	30.15	21.33	0	1.73	12.4	22.27	24.46
OG0009643	13.55	32.44	23.45	13.21	16.73	19.7	4.37	9.05	3.18	11.96	16.28	22.72	5.06	21.18	3.96	12.3	13.06	52.5	39.99	15.25	3.86	16.02	31.34	17.14
OG0009644	432.4	215.74	333.73	207.3	189.88	273.95	18.73	50.7	35.11	63.57	88.35	100.26	260.17	292.02	48.32	113.8	139.8	88.29	124.46	69.82	164	197.21	71.81	107.42
OG0009650	87.09	107.14	145.19	64.79	107.44	87.28	11.94	21.88	18.65	6.87	26.99	69.45	38.1	89.22	46.71	85.73	86.32	109.33	71.72	118.26	76.8	39.1	78.65	81.43
OG0009651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	35.7
OG0009653	25.09	32.4	25.94	43.52	52.4	34.88	6.18	0.27	1.91	12.01	21.34	40.07	17.23	50.07	14.06	24.47	24.31	56.12	32.52	42.53	41.71	18.44	38.4	35.1
OG0009654	4.13	5.46	6.94	2.85	8.95	11.35	0.69	0	0	2.01	0.34	1.16	0.47	15.97	0.55	1.75	1.11	1.76	3.79	10.67	19.8	1.07	20.11	0
OG0009655	NA	NA	NA	4.17	2.12	2.19	1.77	8.71	0	NA	NA	NA	1.78	5.29	0	0.31	0.39	2.2	2.45	6.36	6.96	2.19	4.96	14.35
OG0009656	14.9	8.39	11.62	9.36	18.52	5.69	3.53	4.42	6.79	2.3	9.33	24.35	4.47	11.04	6.42	12.57	17.73	26.22	8.39	45.67	32.56	10.97	36.3	30.39
OG0009659	187.91	148.13	187.12	130.04	181.9	90.68	46.01	86.55	44.77	50.16	86.23	147.18	55.34	205.09	48.92	139.48	126.25	226.52	108.14	79.35	112.91	117.99	84.15	104.13
OG0009661	12.69	10.48	13.35	3.54	2.63	2.71	3.63	4.31	2.72	1.92	3.85	8.32	1.99	9.59	6.23	6.51	7.82	2.21	3.59	8.06	10.26	3.11	8.19	11.67
OG0009662	18.76	29.41	23.62	29.02	36.92	26.58	6.01	22.37	6.88	25.3	26.88	32.81	9.01	39.63	5.56	13.74	13.71	19.45	8.61	20.54	66.07	20.67	45.64	38.62
OG0009663	46.8	43.8	44.3	29.89	28.86	15.39	5.36	2.8	4.43	4.08	6.23	12.64	18.73	9.91	11.73	11.87	19.22	35.56	36.38	3.28	21.34	8.16	13.66	8.42
OG0009664	24.06	30.34	18.13	18.6	26.31	13.57	9.43	12.46	12.9	14.94	5.68	17.75	10.6	19.66	0.85	9.86	10.54	32.28	11.32	39.61	29.64	91.06	21.63	26.04
OG0009665	19.52	26.6	34.63	22.82	39.38	52.62	28	109.53	19.47	51.56	69.94	59.97	14.37	46.57	15.03	37.11	46.47	94.59	48.99	36.44	44.21	23.58	46.85	37.7
OG0009666	15.22	14.56	17.69	13.61	17.73	13.94	2.8	5.29	3.39	6.78	9.77	16.75	0	15.01	7.87	10	9.2	19.08	14.62	15.09	8.19	3.5	7.85	22.22
OG0009667	0	4.41	1.74	7.8	24.51	6.77	4.94	5.81	9.15	0.21	3.77	0	42.1	57.39	14.49	29.47	30.36	27.14	16.99	54.32	31.84	16.79	41.4	52.94
OG0009669	76.31	133.45	146.82	93.33	152.98	168.78	13.96	35.5	0	70.13	112.93	173.87	26.53	155.56	29.9	70.94	92.65	170.25	167.27	95.9	125.61	85.75	103.24	72.64
OG0009671	246.72	327.27	332.1	112.55	152.43	125.94	14.7	40.33	18.91	206.31	330.5	393.38	89.03	218.63	67.78	252.21	282.81	273.66	336.9	15.88	8.78	296.33	0	12.82
OG0009672	NA	NA	NA	0	0.69	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.06	19.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009678	NA	NA	NA	NA	NA	NA	0	2.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009679	51.69	42.32	36.08	31.86	28.82	22.75	4.84	9.82	15.28	10.58	24.92	38.88	19.79	17.26	9.58	37.76	47.02	40.33	23.32	12.35	31	0	4.8	37.12
OG0009682	22.95	34.53	30.67	44.58	33.65	92.59	8.92	16.08	13.2	41.66	62.46	53.47	30.17	69.06	29.89	57.55	69.92	32.66	24.44	48.08	99.54	35.45	62.58	91.51
OG0009683	27.22	50.28	42.56	66.15	68.48	80.97	12.58	25.98	15.15	39.01	61.98	55.83	19.5	36.29	15.67	34.98	35.34	82.76	54.23	38.17	46	24.59	45.55	47
