Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009621	30.96	57.62	49.22	137.31	177.64	203.52	7.98	19.52	3.74	19.99	24.29	34.75	10.05	138.21	16.56	27.73	36.8	69.52	72.37	40.51	96.14	90.49	121.73	78.65
OG0009622	5.79	11.94	12.19	1.7	1.39	0.63	2.21	7.31	3.39	1.89	3.35	2.89	0.38	1.46	0	2.86	5.09	0	2.05	5.82	5.21	1.84	0	14.85
OG0009623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.68
OG0009625	7.23	15.73	8.54	16.24	22.28	40.89	1.16	3.43	0.86	24.29	34.39	18.17	0.36	12.11	0.19	5.42	6.4	15.34	6.92	26.83	45.05	43.3	27.78	3.85
OG0009629	56.38	70.87	70.24	165.83	172.65	151.03	17.58	56.75	16.79	70.98	103.44	109.2	9.88	103.81	23.42	62.13	56.25	177.67	651.23	116.41	534.18	74.8	221.99	286.55
OG0009630	NA	NA	NA	NA	NA	NA	0.79	1.47	1.04	NA	NA	NA	NA	NA	0	1.32	2.06	NA	NA	NA	NA	NA	NA	5.83
OG0009631	18.56	115.69	141.45	240.68	165.05	215.48	4.01	0.66	12.79	5.34	47.41	64.16	39.65	51.28	35.28	112.36	165.72	308.06	192.43	32.98	37.07	219.78	83.75	91.69
OG0009633	4.7	7.39	11.06	9.36	13.91	24.93	0.48	0	0	2.09	4.7	0.11	1.07	11.98	2.34	10.95	17.13	20.99	18.99	1.43	15.8	13.08	12.04	16.62
OG0009634	315.65	243.05	262.9	227.5	185.45	319.55	16.93	32.11	31.08	113.57	150.42	133.62	63.75	196.89	58.35	103.81	136.22	156.69	161.69	16.63	25.11	22.61	19	74.95
OG0009635	242.23	217.95	206.61	162.16	119.33	250.25	9.19	26.57	11.89	77.03	115.87	100.41	38.91	94.36	34.32	74.71	95.29	76.18	116.7	58.96	132.06	179.9	84.41	63.41
OG0009636	8.3	5.34	14.06	0.77	3.13	0	2.14	0.78	2.18	0.3	1.85	8.33	3.05	25.88	0	1.64	1.08	3.96	0.31	23.07	17.48	4.03	9.3	1.69
OG0009637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA
OG0009638	0.97	0.45	1.59	0	1.74	0.21	0.71	2.19	0.61	0	0	1.05	0	2	1.67	2.08	2.79	2.36	2.48	6.37	6.51	0.32	3.04	6.29
OG0009639	0.85	5.65	11.87	25.37	31.71	39.85	3.6	4.82	3.27	2.33	8.31	7.37	3.45	36.38	7.55	14.87	15.3	34.32	19.03	17.3	38.44	12.62	25.91	37.74
OG0009642	9.03	10.57	12.87	10.73	13.28	17.13	2.25	3.54	1.55	10.78	9.95	12.63	2.35	7.7	1.36	8.16	9	18.06	12.12	0	1	6.97	13.16	12.82
OG0009643	8.14	23.06	14.91	10.17	13.15	15.89	1.71	3.73	1.21	5.77	7.79	11.78	1.12	12.17	1.88	6.12	6.68	31.45	22.73	7.69	2.24	9	18.53	8.99
OG0009644	259.85	153.35	212.25	159.7	149.21	220.99	7.33	20.89	13.32	30.66	42.29	51.98	57.61	167.85	22.92	56.64	71.49	52.89	70.74	35.19	95.13	110.78	42.45	56.32
OG0009650	52.34	76.16	92.34	49.91	84.43	70.41	4.67	9.02	7.08	3.31	12.92	36.01	8.44	51.28	22.16	42.67	44.14	65.49	40.76	59.6	44.55	21.97	46.5	42.7
OG0009651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	18.72
OG0009653	15.08	23.03	16.5	33.53	41.18	28.14	2.42	0.11	0.73	5.79	10.21	20.77	3.81	28.78	6.67	12.18	12.43	33.61	18.48	21.44	24.19	10.36	22.7	18.4
OG0009654	2.48	3.88	4.41	2.2	7.04	9.16	0.27	0	0	0.97	0.16	0.6	0.1	9.18	0.26	0.87	0.57	1.05	2.15	5.38	11.49	0.6	11.89	0
OG0009655	NA	NA	NA	3.21	1.66	1.76	0.69	3.59	0	NA	NA	NA	0.39	3.04	0	0.16	0.2	1.32	1.39	3.2	4.04	1.23	2.94	7.52
OG0009656	8.95	5.96	7.39	7.21	14.56	4.59	1.38	1.82	2.57	1.11	4.47	12.62	0.99	6.34	3.05	6.26	9.07	15.7	4.77	23.02	18.89	6.16	21.46	15.93
OG0009659	112.92	105.29	119.01	100.18	142.94	73.15	18.01	35.66	16.99	24.2	41.27	76.3	12.25	117.88	23.21	69.42	64.56	135.68	61.46	39.99	65.5	66.28	49.75	54.6
OG0009661	7.62	7.45	8.49	2.73	2.07	2.19	1.42	1.78	1.03	0.92	1.84	4.32	0.44	5.51	2.96	3.24	4	1.32	2.04	4.06	5.95	1.75	4.84	6.12
OG0009662	11.27	20.91	15.02	22.35	29.01	21.45	2.35	9.22	2.61	12.21	12.86	17.01	1.99	22.78	2.64	6.84	7.01	11.65	4.89	10.35	38.32	11.61	26.98	20.25
